code,description
ghutrk,Human Trafficking
ghunt,Hunting
ghrrc,Hurricanes/Typhoons
ghigh,Hypertension/High Blood Pressure
giceh,Ice Hockey
gident,Identity Theft
gideol,Ideology
gillgb,Illegal Gambling
gillim,Illegal Immigration
giwild,Illegal Wildlife Trade
nimage,Images
gimmu,Immunizations
gimpch,Impeachment
eitax,Income Tax
gindie,Independent Films
e2112,Indirect Taxation
gira,Individual Retirement Accounts
e1111,Industrial Production Figures
cinprp,Industrial Property Rights
cinesp,Industrial/Corporate Espionage
ciprof,Industry Profiles
gihea,Infant/Child/Teenage Health
gspox,Infectious Diseases
gchlra,Infectious Foodborne/Waterborne Diseases
e1103,Inflation Figures/Price Indices
c25,Information Technology
c1711,Initial Public Offerings
cinsdl,Insider Dealing
cdirdl,Insider Stock Sales/Purchases
cintrf,Insider Transaction Filings
gifra,Insurance Fraud
cgymtr,Intellectual Property Rights
effund,Interbank Rate
e1202,Interest Rates
ciexp,International Expansion
gdip,International Relations
gesanc,International Sanctions
nitv,Interviews
niex,Interviews with Corporate Executives
giidea,Investment Ideas/Investor Education
mirono,Iron Ore Markets
gislam,Islam
gpelo,Jai Alai (Pelota)
mjtful,Jet Fuel Markets
gjsear,Job Search
ejobcl,Jobless Claims
c184,Joint Ventures/Consortia
gjudo,Judo
gjuri,Juries
gkara,Karate
gkdnap,Kidnapping/Abduction
cknowm,Knowledge/Information Management
clabdi,Labor Disputes
gjob,Labor Issues
glacr,Lacrosse
gland,Land Use
ghome,Law Enforcement
credun,Lay-offs/Redundancies
mlead,Lead Markets
nlet,Letters
clbo,Leveraged Buyouts
clever,Leveraged Loans
glgbt,LGBT Rights
c334,Licensing Agreements
mlpg,Liquid Petroleum/Gas Markets
cliqui,Liquidation
glit,Literacy/Illiteracy
mgrfds,Livestock Meals/Feeds Markets
mlvstk,Livestock/Meat Markets
glife,Living/Lifestyle
geldcr,Long-term Care Costs
glux,Luxury Homes/Estates
gluxtr,Luxury Travel
gcvir,Malware
c41,Management
cmbo,Management Buyouts
c411,Management Moves
gmara,Marathon
gmarij,Marijuana Use/Abuse
cmarkr,Market Research
c313,Market Share
c31,Marketing
cdom,Markets/Marketing
gwedd,Marriage/Divorce
gmath,Mathematics
gmed,Medical Conditions
gcrese,Medical Research
gtrea,Medical Treatments/Procedures
gmam,Medication Abuse/Misuse
gmenig,Meningitis
gmhea,Men's Health
gment,Mental Disorders
gpsych,Mental Health Therapies
cmerg,Mergers
m142,Metals Markets
gmetha,Methamphetamine Use/Abuse
cmezz,Mezzanine Financing
cmmm,Middle/Lower Management
gmilac,Military Aid/Cooperation
gvio,Military Operations
gchess,Mind Sports
gmini,Minimum/Living Wage
mminmt,Minor Metals Markets
cminor,Minority-owned Businesses
gmode,Modern Pentathlon
gmdart,Modernist/Postmodernist Art
e12,Monetary Policy
gdtcsh,Money Laundering
m131,Money Markets
e1102,Money Supply Figures
m13,Money/Currency Markets
gdepr,Mood Disorders
e1122,Mortgage Application/Refinancing Figures
gmofra,Mortgage Fraud
gmort,Mortgage Planning/Trends
grefi,Mortgage Refinancing
gmala,Mosquito-borne Diseases
mmotfl,Motor Fuel Markets
gmora,Motor Racing
gmoto,Motor Sports
gmovet,Motor Vehicle Theft
gmocy,Motorcycling
gpark,Movement Disorders
gmovie,Movies
gmltps,Multiple Sclerosis
mmuni,Municipal Debt/Bond Markets
gmusic,Music
gmusls,Musicals
gnano,Nanotechnology
mnapth,Naphtha Markets
gnasc,Nascar
mntdbt,National Government Debt/Bond Markets
gcns,National/Public Security
gntdis,Natural Disasters
genv,Natural Environment
mnatgs,Natural Gas Markets
cnatrd,Natural Reserves/Resources Discovery
gnrsca,Natural Resource Scarcity
gnavy,Navy
gnet,Netball
cnetn,Network Neutrality
gneuro,Neurodegenerative Diseases
gadhd,Neurodevelopmental Disorders
cncc,New Companies Creation
ctrial,New Product/Service Testing
c22,New Products/Services
nnam,News Agency Materials
nsum,News Digests
mnickl,Nickel Markets
gnbfir,Nonbuilding Structure Fires/Explosions/Collapses
mnonfr,Non-ferrous Metals Markets
c333,Non-Government Contracts/Orders
gsars,Novel Coronaviruses
gnuca,Nuclear Accidents
gnuclw,Nuclear Weapons Programs
gnutr,Nutrition
gobes,Obesity
nobt,Obituaries
gocea,Oceanography
moilsd,Oilseed Markets
goly,Olympics
gopera,Opera
moranj,Orange Juice Markets
gorga,Organ/Tissue Transplants
gorie,Orienteering
gout,Outbreaks/Epidemics
c21,Output/Production
coutsc,Outsourcing
goveto,Overtourism
c18,Ownership Changes
npag,Page One Stories
gpaleo,Paleontology
gpara,Para-sports
gparen,Parenting/Parenthood
cpartn,Partnerships/Collaborations
c133,Patents
epaytx,Payroll Taxes
npeo,People Profiles
npan,Personal Announcements
gpbnkr,Personal Bankruptcy
gpcred,Personal Credit Score
gpersf,Personal Finance
e1104,Personal Income/Average Earnings
gpersi,Personal Investments
ginvbn,Personal Investments in Bonds
givsto,Personal Investments in Stocks
gptech,Personal Technology
mpetch,Petrochemicals Markets
gpfas,PFAS Pollution
gscam,Phone/Online Scams
gphot,Photography
c182,Physical Asset Transactions
e512,Physical Trade
gfitn,Physical/Mental Fitness
gphys,Physics
gplant,Plant Health
gplpol,Plastic Pollution
mplat,Platinum Metals Markets
gpois,Poisoning
gpobru,Police Brutality
gpapp,Political Appointments/Terminations
gcat,Political/General News
gpir,Politics/International Relations
gpolo,Polo
gpolyg,Polygamy
mpoly,Polymers Markets
gponz,Ponzi/Pyramid Scheme
mhogs,Pork/Pigs Markets
gporn,Pornography
gpreti,Post-retirement
mpoult,Poultry/Eggs Markets
gpov,Poverty
mpcsmt,Precious Metals Markets
cprpr,Predatory Pricing
gpres,Preschool
npress,Press Releases
cprf,Price Fixing
cprgog,Price Gouging
c314,Prices
gbse,Prion Diseases (Animals)
gpris,Prisons/Prisoners
gdatap,Privacy Issues/Information Security
gprive,Private Education
cprpla,Private Placements
c183,Privatizations/Nationalizations
gprob,Probation/Home Detention
eppin,Producer/Wholesale Price Index
crecal,Product Recalls
cpshrt,Product Shortage
cpstoc,Product Stockpile
cprods,Product Sustainability
c26,Product/Consumer Safety
cappro,Product/Service Approvals
cpsrdi,Product/Service Disruptions
coffs,Production/Services Relocation
cexpro,Products/Services
c01,Profiles of Companies
cprofi,Profit Warnings
eestax,Property Taxes
nprpct,Prospectuses
gprepi,Prosthetic Replacements/Implants
gprost,Prostitution
cprox,Proxy Fight
cproxf,Proxy Statement Filings
gpsyl,Psychology
gpinq,Public Inquiries
mpulse,Pulse Markets
epmi,Purchasing Managers Index
cqref,Quarterly Report Filings
gracm,Racism/Xenophobia
grdly,Radiology
grall,Rallying
gmssh,Rampage/Serial Killings
nran,Rankings
grelis,Real Estate Listings
ereal,Real Estate Markets
greest,Real Estate/Property
crecap,Recapitalization
grcps,Recipes
crecrt,Recruitment
grefu,Refugees/Asylum Seekers
greg,Regional Politics
c13,Regulation/Government Policy
c131,Regulatory Bodies
crbrea,Regulatory Breach
grelad,Relationships
grel,Religion
greldi,Religious Discrimination
grent,Renting/Letting
c23,Research/Development
e1119,Reserve Assets Figures
glungc,Respiratory Tract Cancer
gcold,Respiratory Tract Diseases
e1107,Retail Sales Figures
gretir,Retirement Planning
crevss,Reverse Stock Splits
nrvw,Reviews
mrice,Rice Markets
grisk,Risk News
grobb,Robbery
grobo,Robotics
grodeo,Rodeo
nrgn,Routine General News
nrmf,Routine Market/Financial News
gtrep,Routine Traffic Reports
gwere,Routine Weather Reports
growi,Rowing
groyal,Royal Families
mrubb,Rubber Markets
grugl,Rugby League
grugu,Rugby Union
c1513,Sales Figures
c3141,Sales Promotions
estax,Sales Tax
ggaym,Same-Sex Marriage/Civil Union
gschol,Scholarships/Educational Grants
gscho,School
gsci,Sciences/Humanities
cscplo,Secondary Offerings
cgvfil,Securities Filings
csreg,Securities Registration/Deregistration Filings
cseedr,Seed/Pre-seed Funding
redit,Selection of Top Stories/Trends/Analysis
cslmc,Senior Level Management
cpfund,Series Funding
eserv,Services Sector Figures
coocs,Settlements/Out-of-Court Agreements
grape,Sex Crimes
gsexd,Sex Discrimination
gsexu,Sexuality
gstd,Sexually Transmitted Diseases
cshbuy,Share Buybacks/Redemptions
c171,Share Capital
c1522,Share Price Movement/Disruptions
cactsh,Shareholder Activism
c1712,Shareholder Rights Plans
gshoo,Shooting Sports
gshop,Shoplifting
msilv,Silver Markets
gskinc,Skin Cancer
ginsom,Sleep Disorders
csble,Small Business Lending
csbsup,Small Business Start-up Capital
csmlbs,Small/Medium Businesses
gsmart,Smart City Development
gsmok,Smoking
gaval,Snow Avalanches
gsno,Snowboarding
gsocc,Soccer
gsoc,Social Issues
gweb,Social Media
csmad,Social Media Marketing/Advertising
gcom,Society/Community
gsocl,Sociology
magric,Soft Commodity Markets
gsoft,Softball
gsoilp,Soil Pollution
gspace,Space
gsjunk,Space Debris
gspam,Spamming
gneeds,Special Needs Education
mspice,Spices Markets
gspo,Sports
gsebi,Sports Event Bidding
mspotp,Spot Markets
gsqua,Squash
c42,Staff/Personnel
c132,Standards/Standardization
csbnew,Starting a Business
gsec,State Security Measures/Policies
nstacs,Statistics
msteel,Steel Markets
cdelis,Stock Delistings
c14,Stock Listings
msoptn,Stock Options Markets
cstksp,Stock Splits/Bonus Issues
cstdr,Stock Trading Disruptions
cstre,Stock Trading Resumptions
ghurr,Storms
godd,Strange But True
gweig,Strength Sports
gstres,Stress-related Conditions
gstrok,Stroke
gsloan,Student Loans
e214,Subnational Government Borrowing
e213,Subnational Government Budget/Taxation
msugar,Sugar Markets
reqrac,Suggested Reading – Accounting/Consulting
reqrap,Suggested Reading – Advertising/Public Relations/Marketing
reqrad,Suggested Reading – Aerospace/Defense
reqraf,Suggested Reading – Agriculture/Forestry
reqrai,Suggested Reading – Airlines
reqrau,Suggested Reading – Automobiles
reqrbc,Suggested Reading – Banking/Credit
reqbio,Suggested Reading – Biotechnology
reqbcs,Suggested Reading – Business/Consumer Services
reqrch,Suggested Reading – Chemicals
reqrct,Suggested Reading – Clothing/Textiles
reqrcm,Suggested Reading – Computers
reqrcr,Suggested Reading – Construction/Real Estate
reqrcp,Suggested Reading – Consumer Products
reqren,Suggested Reading – Energy
reqevr,Suggested Reading – Environment/Waste Management
reqrfb,Suggested Reading – Food/Beverages/Tobacco
reqrhc,Suggested Reading – Healthcare
reqrhr,Suggested Reading – Hotels/Restaurants/Casinos
reqr,Suggested Reading – Industry News
reqrin,Suggested Reading – Insurance
reqrio,Suggested Reading – Internet/Online Services
reqris,Suggested Reading – Investing/Securities
reqlea,Suggested Reading – Leisure/Arts
reqmig,Suggested Reading – Machinery/Industrial Goods
reqrme,Suggested Reading – Media
reqrmm,Suggested Reading – Metals/Mining
reqpap,Suggested Reading – Paper/Packaging
reqrph,Suggested Reading – Pharmaceuticals
reqrre,Suggested Reading – Retail
reqrte,Suggested Reading – Telecommunications
reqrts,Suggested Reading – Transportation/Shipping
gsuic,Suicide
gsuper,Superbugs
cscm,Supply Chain
gsurf,Surfing
nsur,Surveys/Polls
gsust,Sustainable Development/Sustainability
mswap,Swap Markets
gswim,Swimming
gtabt,Table Tennis
ntab,Tables
gteva,Tax Fraud
gtaxst,Tax Strategies
gtcom,Telecommuting
gteleh,Telemedicine
gtvrad,Television/Radio
ctendo,Tender Offers
gtenn,Tennis
gtenp,Tenpin Bowling
gterr,Terrorism
gtfin,Terrorism Financing
gtheat,Theater
mtin,Tin Markets
ntop,Top Wire News
gtor,Tornadoes
gtortu,Torture
gtoxal,Toxic Algae
gtox,Toxic Leaks
gtrade,Trade Barriers/Restrictions
e1118,Trade Figures
gtwar,Trade Wars
e51,Trade/External Payments
ctmark,Trademarks
gtrff,Traffic Violations
gtraff,Trafficking/Smuggling
ntra,Transcripts
gtrans,Transport
gtacc,Transport Accidents
gtour,Travel
gtdeal,Travel Deals/Packages
gtrrw,Travel Reviews
gtria,Triathlon
gtsun,Tsunamis
gtub,Tuberculosis
glist,TV/Radio Listings
guni,University/College
cscev,Unscheduled Material Event Filings
gplan,Urban/Rural Planning
cusags,Usage/Consumption Statistics
gvand,Vandalism/Trespass
gmosq,Vector-borne/Zoonotic Diseases
mveoil,Vegetable Oil Markets
gviwom,Violence Against Women
gvoll,Volleyball
gwar,War Crimes
gwtpol,Water Pollution
gweap,Weapons Programs
gwea,Weather
nwkah,Week Ahead Outlooks
gwelss,Weight Management
gwefr,Welfare/Benefit Fraud
gwelf,Welfare/Social Services
mwheat,Wheat Markets
gwhis,Whistleblowers
cgenpr,White Labeling
ewhsl,Wholesale Sales Figures
gbush,Wildfires
gwbs,Wine/Beer/Spirits
gwint,Winter Sports
gwirt,Wiretapping/Electronic Eavesdropping
gwitn,Witness Tampering
cfmex,Women Executives
cwmob,Women-owned Businesses
gwhea,Women's Health
mwool,Wool Markets
cwrkpa,Workers Pay
gbal,Work-Life Balance
cwkdis,Workplace Abuse
cwkdiv,Workplace Diversity
coccsh,Workplace Safety/Occupational Health
gyach,Yachting
mzinc,Zinc Markets
